,latitude,longitude,elevation,elevation_change,distances,gradient
0,43.69691,7.26893,14.818725586,0.0,0.0,0.0
1,43.69634,7.26758,12.126953125,-2.6917724609999993,125.68442126524556,-1.226911226009818
2,43.69621,7.26722,11.641846657,-0.4851064679999997,32.35140645488661,-0.8590807442426177
3,43.69611,7.26703,11.497871399,-0.1439752580000011,18.893722496200102,-0.43660083249917986
4,43.69596,7.26685,11.117391586,-0.3804798129999991,22.081957515666254,-0.9871285410793884
5,43.69581,7.26673,10.685463905,-0.43192768099999945,19.268398564904846,-1.2841487144623696
6,43.69534,7.26641,9.982191086,-0.7032728190000004,58.25070010647943,-0.691710256913114
7,43.69523,7.26629,10.17415905,0.19196796399999982,15.578324813726162,0.7060064281108265
8,43.69509,7.26617,9.565807343,-0.6083517070000006,18.31439133264875,-1.9025024276054414
9,43.69503,7.26611,9.277855873,-0.28795146999999943,8.232903792376659,-2.0031427298205866
10,43.69501,7.26569,10.202630997,0.924775124,33.839875851636975,1.5653877548582487
11,43.69499,7.2654,8.565142632,-1.6374883649999994,23.42094735062123,-3.9993577544501275
12,43.69499,7.26526,8.061226845,-0.5039157870000004,11.255579425154131,-2.563438058196154
13,43.69497,7.26479,7.107402325,-0.9538245200000004,37.85198064705646,-1.4434794593776639
14,43.694969463,7.264786689,7.10762167,0.00021934500000053703,0.2728094923384949,0.046067092246297306
15,43.69492,7.26356,10.03136158,2.92373991,98.77543087580256,1.695452580736163
16,43.69486,7.26267,8.047627449,-1.9837341310000003,71.8638094526043,-1.5811955763039454
17,43.69475,7.26113,6.665229797,-1.3823976519999999,124.41446461717646,-0.6366003502603729
18,43.69461,7.26019,5.962426662,-0.7028031349999999,77.16025214319595,-0.5218559923934635
19,43.69441,7.25881,6.42854023,0.4661135679999999,113.1556269422572,0.23601291329601704
20,43.6943,7.25821,8.312606812,1.884066582,49.76526050901924,2.168129572210267
21,43.69387,7.25631,8.808074951,0.49546813899999975,160.06479722861238,0.17735406579921212
22,43.693792196,7.255969607,8.228878021,-0.5791969300000002,28.702007767939033,-1.1560527880596416
23,43.693791575,7.255966891,8.215657234,-0.013220786999999845,0.22902054943679176,-3.303876158024842
24,43.69379,7.25596,8.182114601,-0.03354263299999971,0.5810480970360935,-3.3038929420538032
25,43.69288,7.25186,8.391726494,0.20961189299999994,344.8177684242346,0.03482963009761679
26,43.692634629,7.2511337,8.742204666,0.350478171999999,64.4541408077453,0.31155053658492526
27,43.69263397,7.25113175,8.745241165,0.003036499000000248,0.1730596665124481,1.0052066449898591
28,43.69263,7.25112,8.763528824,0.01828765900000029,1.0427532114602631,1.0047423104314737
29,43.69086,7.24599,9.077806473,0.314277649000001,457.01039559205515,0.039401248238919696
30,43.69034,7.24455,10.485452652,1.4076461789999986,129.41542718903966,0.6231792180923527
31,43.68999,7.24365,11.705830574,1.2203779220000008,82.16476755533006,0.8509409242722518
32,43.68953,7.24274,8.809092522,-2.896738052,89.27369645699562,-1.8584718674594034
33,43.68859,7.241,12.544671059,3.7355785370000003,174.63792396297214,1.2253939163124279
34,43.68761,7.23927,11.30975914,-1.234911919,176.70390220422732,-0.400410450896955
35,43.68707,7.23845,13.916376114,2.6066169739999996,89.17801607871118,1.6742426846155576
36,43.6868,7.23808,13.379112244,-0.5372638700000003,42.26669393791694,-0.7282635946383665
37,43.686444313,7.237589729,9.965088844,-3.4140233999999996,55.84199748478555,-3.4985489906287532
38,43.686442707,7.237587515,9.94967556,-0.01541328400000097,0.25215696482471656,-3.4978954566204012
39,43.68643,7.23757,9.82770443,-0.1219711299999986,1.994968781156522,-3.49867270007556
40,43.68642,7.23756,9.731719971,-0.0959844590000003,1.3722184614218371,-4.001229769259959
41,43.68602,7.23703,6.982871532,-2.7488484390000005,61.59925154006414,-2.5551121152565166
42,43.68563,7.23658,6.658925533,-0.3239459990000002,56.4792570520269,-0.3286256932123649
43,43.68275,7.23339,10.584048271,3.9251227380000007,410.3087396738357,0.5480899755379002
44,43.68187,7.23242,7.12964201,-3.454406261,125.13659950363275,-1.5812531916434454
45,43.68129,7.23178,7.244118214,0.1144762039999998,82.51097270623286,0.07949244712908285
46,43.68083,7.23133,8.361323357,1.1172051429999996,62.656133221761394,1.021517826712426
47,43.679975041,7.230638348,9.025726318,0.6644029610000004,110.14249106912823,0.3456161511675421
48,43.679972636,7.230636402,9.02942276,0.0036964419999989673,0.3098469750912942,0.6835002313580137
49,43.67994,7.23061,9.079573631,0.050150871000001374,4.204426167652573,0.6833981302121751
50,43.67941,7.2302,9.691472054,0.6118984229999995,67.52950638896931,0.5191543598427047
51,43.67852,7.22956,9.848676682,0.15720462800000057,111.54688861937527,0.08074770934959735
52,43.67789,7.22912,8.930719376,-0.9179573059999999,78.4822508000081,-0.6701219784593255
53,43.67768,7.22896,8.154429436,-0.7762899400000016,26.66141827039178,-1.6677872874072652
54,43.67706,7.22858,7.122601986,-1.0318274499999989,75.4105089288544,-0.7839181819389781
55,43.67607,7.22803,6.336342812,-0.7862591740000004,118.63694906379995,-0.3797187392290188
56,43.67447,7.22712,6.932127476,0.595784664,192.3765296513132,0.17744283917087122
57,43.67388,7.2268,8.150172234,1.2180447579999996,70.47238399143984,0.9902017171883909
58,43.67339,7.22648,8.827912331,0.6777400970000009,60.25797175868153,0.6443962305575339
59,43.67305,7.22623,8.53054142,-0.2973709109999998,42.820410477926664,-0.39789025994943195
60,43.67269,7.22593,8.150233269,-0.38030815100000126,46.7394360310015,-0.46619242658916504
